[customer-core] 2022-08-14 09:19:22.091 DEBUG 176555 --- [nio-8110-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /actuator/info, headers=[accept-encoding:"gzip", user-agent:"ReactorNetty/0.9.12.RELEASE", host:"Amrita:8110", accept:"application/vnd.spring-boot.actuator.v2+json, application/vnd.spring-boot.actuator.v1+json, application/json"]]
[customer-core] 2022-08-14 09:19:42.055 DEBUG 176555 --- [nio-8110-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /actuator/health, headers=[accept-encoding:"gzip", user-agent:"ReactorNetty/0.9.12.RELEASE", host:"Amrita:8110", accept:"application/vnd.spring-boot.actuator.v2+json, application/vnd.spring-boot.actuator.v1+json, application/json"]]
[customer-core] 2022-08-14 09:19:42.059 DEBUG 176555 --- [nio-8110-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /actuator/health, headers=[accept-encoding:"gzip", user-agent:"ReactorNetty/0.9.12.RELEASE", host:"Amrita:8110", accept:"application/vnd.spring-boot.actuator.v2+json, application/vnd.spring-boot.actuator.v1+json, application/json"]]
[policy-management-backend] 2022-08-14 09:19:46.162 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:46.368 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:46.748 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:46.959 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:47.193 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:47.583 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:47.589 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - Processing duplicate insurance quote request with id 95 
[policy-management-backend] 2022-08-14 09:19:47.754 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:47.933 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:48.102 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:48.516 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:48.826 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:48.994 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:49.161 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
[policy-management-backend] 2022-08-14 09:19:49.165 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - Processing duplicate insurance quote request with id 95 
[policy-management-backend] 2022-08-14 09:19:49.338 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.l.p.i.InsuranceQuoteRequestMessageConsumer - A new InsuranceQuoteRequestEvent has been received. 
